best_epoch,dataset,elapsed_sec,meta_dataset_type,meta_edge_homophily,meta_make_undirected,meta_num_edges,meta_num_nodes,meta_source,meta_split_id,model,seed,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
186,amazon-ratings,25.49030637741089,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,mlp,7,0.3823289275169372,1.378234624862671,0.4068267047405243,1.3534433841705322,0.3934345841407776,1.3773432970046997
90,amazon-ratings,14.908576250076294,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,mlp,8,0.385595291852951,1.3830339908599854,0.4105830490589142,1.3564268350601196,0.3883717060089111,1.3807662725448608
180,amazon-ratings,22.85803914070129,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,mlp,9,0.3906581699848175,1.3781129121780396,0.4080516099929809,1.3538683652877808,0.392128050327301,1.377187728881836
81,amazon-ratings,4.198527574539185,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,sgc,0,0.3872284889221191,1.374687910079956,0.392128050327301,1.3690791130065918,0.3939245343208313,1.3753997087478638
6,amazon-ratings,1.2743258476257324,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,sgc,1,0.3777559995651245,1.4782358407974243,0.3797158300876617,1.4781259298324585,0.3826555609703064,1.478400945663452
147,amazon-ratings,5.338201522827148,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,sgc,2,0.3931079506874084,1.3740475177764893,0.3955577313899994,1.3655606508255005,0.3950677812099457,1.3690961599349976
125,amazon-ratings,5.127367496490479,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,sgc,3,0.3908214867115021,1.3731889724731443,0.3983341455459595,1.3659380674362185,0.3940878510475158,1.3701478242874146
104,amazon-ratings,4.155168771743774,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,sgc,4,0.3865752220153808,1.3716983795166016,0.3939245343208313,1.3681273460388184,0.3918014168739319,1.3740252256393433
7,amazon-ratings,2.12041974067688,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,sgc,5,0.3851053416728973,1.4598504304885864,0.3815940022468567,1.4591143131256104,0.3906581699848175,1.4595811367034912
149,amazon-ratings,5.721594333648682,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,sgc,6,0.3904948532581329,1.3728032112121582,0.3914747536182403,1.3654605150222778,0.3962109982967376,1.3700648546218872
161,amazon-ratings,5.811555624008179,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,sgc,7,0.3926180005073547,1.3720109462738037,0.3944961726665497,1.3647516965866089,0.393271267414093,1.371184468269348
250,amazon-ratings,6.295111179351807,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,sgc,8,0.3906581699848175,1.3703577518463137,0.401518851518631,1.3629997968673706,0.3885350227355957,1.370328068733215
10,amazon-ratings,2.140398979187012,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,sgc,9,0.3821656107902527,1.4372522830963137,0.3831455111503601,1.4355809688568115,0.3854319751262665,1.4357399940490725
227,roman-empire,43.57909846305847,heterophilous_graphs,0.046891608710177,True,32927,22662,roman_empire,0,appnp,0,0.4938228130340576,1.6668850183486938,0.5116935968399048,1.6153550148010254,0.4988526105880737,1.6519869565963743
237,roman-empire,44.45850133895874,heterophilous_graphs,0.046891608710177,True,32927,22662,roman_empire,1,appnp,1,0.4902929663658142,1.6665986776351929,0.5026917457580566,1.634282469749451,0.4935569167137146,1.6555885076522827
245,roman-empire,56.589555501937866,heterophilous_graphs,0.046891608710177,True,32927,22662,roman_empire,2,appnp,2,0.4909989535808563,1.664262294769287,0.513546884059906,1.6073318719863892,0.5027360916137695,1.6327009201049805
222,roman-empire,38.20570707321167,heterophilous_graphs,0.046891608710177,True,32927,22662,roman_empire,3,appnp,3,0.4851747155189514,1.661515235900879,0.504192054271698,1.6266549825668335,0.4947925806045532,1.6541450023651123
233,roman-empire,59.071579694747925,heterophilous_graphs,0.046891608710177,True,32927,22662,roman_empire,4,appnp,4,0.4985880553722381,1.6549466848373413,0.5092225074768066,1.6149874925613403,0.4951456189155578,1.6528762578964231
243,roman-empire,56.517754554748535,heterophilous_graphs,0.046891608710177,True,32927,22662,roman_empire,5,appnp,5,0.4924108684062958,1.6557191610336304,0.5051628351211548,1.6368719339370728,0.4864960312843323,1.6715642213821411
